iter	Passed	Remaining
0	0	500
1	1	499
2	1	542
3	1	489
4	2	506
5	3	598
6	4	586
7	4	566
8	4	549
9	5	536
10	5	512
11	6	504
12	6	489
13	6	477
14	7	466
15	7	456
16	7	445
17	8	436
18	8	426
19	8	415
20	8	403
21	8	397
22	9	392
23	9	387
24	9	383
25	10	380
26	10	376
27	10	370
28	10	364
29	11	360
30	11	357
31	11	355
32	12	353
33	12	354
34	12	350
35	13	367
36	13	363
37	14	359
38	14	360
39	14	358
40	15	357
41	15	356
42	15	355
43	16	366
44	17	362
45	17	358
46	17	359
47	18	358
48	18	356
49	18	355
50	19	353
51	19	350
52	19	349
53	19	348
54	20	347
55	20	345
56	20	342
57	20	340
58	21	337
59	21	334
60	21	331
61	21	330
62	21	327
63	22	325
64	22	323
65	22	322
66	22	319
67	23	317
68	23	316
69	23	314
70	23	313
71	24	311
72	24	310
73	24	309
74	24	307
75	25	307
76	25	306
77	25	304
78	25	302
79	26	300
80	26	299
81	26	298
82	26	297
83	27	295
84	27	294
85	27	293
86	27	291
87	28	290
88	28	289
89	28	288
90	28	287
91	29	287
92	29	287
93	29	286
94	29	285
95	30	283
96	30	283
97	30	282
98	30	281
99	31	280
100	31	279
101	31	278
102	31	277
103	32	276
104	32	275
105	32	274
106	32	273
107	33	272
108	33	271
109	33	270
110	33	270
111	33	269
112	34	268
113	34	267
114	34	266
115	34	265
116	35	264
117	35	263
118	35	262
119	35	261
120	35	261
121	36	260
122	36	259
123	36	259
124	36	258
125	37	261
126	38	261
127	38	260
128	38	259
129	38	259
130	39	259
131	39	259
132	39	259
133	39	258
134	40	257
135	40	256
136	40	256
137	41	256
138	41	256
139	41	255
140	41	254
141	42	254
142	42	253
143	43	257
144	43	256
145	43	255
146	43	254
147	44	253
148	44	252
149	44	252
150	44	251
151	44	251
152	45	250
153	45	249
154	46	252
155	46	251
156	46	251
157	47	254
158	47	253
159	48	252
160	48	252
161	48	251
162	48	250
163	49	250
164	50	253
165	50	253
166	50	252
167	50	251
168	51	251
169	51	250
170	51	249
171	51	249
172	52	250
173	52	249
174	52	248
175	52	247
176	53	247
177	54	249
178	54	249
179	54	248
180	54	247
181	55	247
182	55	246
183	55	246
184	55	245
185	56	245
186	56	244
187	56	243
188	56	243
189	56	242
190	57	241
191	57	240
192	57	239
193	57	239
194	57	238
195	58	237
196	58	237
197	58	237
198	58	236
199	58	235
200	59	235
201	59	235
202	59	234
203	59	233
204	60	233
205	60	232
206	60	232
207	60	231
208	61	231
209	61	230
210	61	230
211	61	229
212	61	228
213	62	227
214	62	227
215	62	226
216	62	226
217	63	226
218	63	225
219	63	225
220	63	224
221	63	224
222	64	223
223	64	223
224	64	222
225	64	222
226	65	221
227	65	221
228	65	220
229	65	220
230	65	219
231	66	219
232	66	218
233	66	217
234	66	217
235	66	216
236	67	216
237	67	215
238	67	215
239	68	217
240	68	216
241	69	216
242	69	215
243	69	215
244	69	214
245	69	214
246	70	213
247	70	213
248	70	212
249	70	212
250	70	211
